image_id,has_defect,p_defect,max_confidence
1,1,0.6724,0.7301
10,1,0.3457,0.5217
100,1,0.8058,0.8343
101,1,0.1854,0.4053
102,1,0.8557,0.8840
103,1,0.9170,0.9646
104,1,0.1854,0.4053
105,1,0.8684,0.8984
106,1,0.9216,0.9723
107,1,0.6346,0.7044
108,0,0.0498,0.2502
109,0,0.0332,0.2165
11,1,0.9055,0.9469
110,1,0.4423,0.5830
111,1,0.6800,0.7353
112,1,0.6995,0.7492
113,0,0.0047,0.1096
114,1,0.6103,0.6884
115,0,0.0030,0.0936
116,1,0.1511,0.3749
117,1,0.8543,0.8825
118,1,0.2121,0.4271
119,1,0.8271,0.8544
12,1,0.5153,0.6283
120,1,0.8227,0.8502
121,1,0.8575,0.8860
122,1,0.8232,0.8507
123,1,0.8469,0.8745
124,1,0.7173,0.7622
125,1,0.7515,0.7884
126,1,0.2082,0.4240
127,0,0.0183,0.1757
128,1,0.6633,0.7238
129,1,0.4392,0.5811
13,0,0.0659,0.2764
130,1,0.6132,0.6903
131,1,0.7789,0.8107
132,1,0.8612,0.8901
133,1,0.8237,0.8511
134,1,0.9186,0.9672
135,0,0.0008,0.0578
136,0,0.0832,0.3007
137,1,0.2095,0.4251
138,1,0.8891,0.9241
139,1,0.8790,0.9111
14,0,0.0621,0.2707
140,0,0.0818,0.2989
141,1,0.5377,0.6422
142,0,0.0069,0.1249
143,1,0.7880,0.8185
144,1,0.3446,0.5210
145,1,0.5654,0.6597
146,1,0.1835,0.4037
147,0,0.0318,0.2133
148,1,0.6527,0.7165
149,0,0.0400,0.2315
15,1,0.1252,0.3494
150,1,0.2650,0.4668
151,1,0.3453,0.5215
152,1,0.3991,0.5560
153,1,0.3103,0.4982
154,1,0.8095,0.8377
155,1,0.9258,0.9795
156,1,0.4604,0.5942
157,1,0.7586,0.7941
158,1,0.7089,0.7560
159,1,0.7183,0.7630
16,1,0.7400,0.7794
160,1,0.8910,0.9265
161,1,0.8061,0.8346
162,1,0.7674,0.8012
163,1,0.5881,0.6741
164,1,0.2966,0.4889
165,1,0.2615,0.4643
166,1,0.7119,0.7582
167,1,0.1163,0.3400
168,1,0.8542,0.8823
169,1,0.8466,0.8742
17,1,0.4670,0.5983
170,1,0.7679,0.8016
171,1,0.7960,0.8255
172,1,0.3929,0.5520
173,1,0.6994,0.7492
174,1,0.7918,0.8219
175,1,0.6439,0.7106
176,1,0.7145,0.7602
177,1,0.8051,0.8337
178,0,0.0001,0.0292
179,1,0.4038,0.5589
18,1,0.4356,0.5788
180,1,0.5502,0.6501
181,1,0.8501,0.8780
182,1,0.8576,0.8861
183,1,0.3386,0.5171
184,1,0.7965,0.8259
185,1,0.2509,0.4566
186,1,0.1618,0.3847
187,1,0.5070,0.6231
188,1,0.3893,0.5498
189,1,0.8022,0.8311
19,1,0.4909,0.6131
190,0,0.0255,0.1975
191,1,0.1540,0.3776
192,1,0.5768,0.6669
193,1,0.9189,0.9678
194,0,0.0295,0.2079
195,1,0.8741,0.9052
196,1,0.6279,0.7000
197,1,0.8373,0.8646
198,1,0.6796,0.7351
199,1,0.2209,0.4340
2,1,0.7975,0.8269
20,1,0.8762,0.9077
200,1,0.8649,0.8944
201,1,0.4581,0.5928
202,1,0.7310,0.7725
203,1,0.1091,0.3320
204,1,0.8678,0.8977
205,1,0.8303,0.8576
206,0,0.0063,0.1212
207,1,0.6244,0.6977
208,1,0.8818,0.9146
209,1,0.8438,0.8712
21,0,0.0297,0.2082
210,1,0.3834,0.5460
211,1,0.7684,0.8020
212,1,0.8021,0.8310
213,1,0.4858,0.6100
214,1,0.7779,0.8099
215,1,0.6654,0.7252
216,1,0.8981,0.9362
217,1,0.8693,0.8995
218,1,0.7567,0.7926
219,0,0.0036,0.1000
22,1,0.6978,0.7480
220,0,0.0107,0.1458
221,0,0.0003,0.0416
222,1,0.5837,0.6713
223,1,0.8584,0.8869
224,1,0.4516,0.5888
225,1,0.1392,0.3635
226,1,0.8429,0.8703
227,1,0.7598,0.7950
228,1,0.7377,0.7776
229,1,0.8407,0.8680
23,1,0.6657,0.7255
230,1,0.6872,0.7404
231,1,0.4201,0.5692
232,1,0.2450,0.4522
233,1,0.7362,0.7765
234,1,0.7541,0.7904
235,1,0.8696,0.8998
236,0,0.0920,0.3119
237,1,0.7138,0.7596
238,1,0.6443,0.7109
239,0,0.0467,0.2445
24,1,0.7846,0.8156
240,1,0.7498,0.7870
241,0,0.0000,0.0192
242,1,0.7546,0.7909
243,1,0.7985,0.8278
244,1,0.2826,0.4792
245,1,0.8642,0.8935
246,1,0.7542,0.7905
247,0,0.0766,0.2919
248,1,0.1904,0.4095
249,1,0.7140,0.7598
25,1,0.7852,0.8161
250,0,0.0196,0.1800
251,1,0.8270,0.8543
252,1,0.1911,0.4101
253,1,0.3290,0.5108
254,1,0.6896,0.7422
255,1,0.7642,0.7986
256,1,0.8613,0.8902
257,1,0.7105,0.7572
258,1,0.3751,0.5407
259,1,0.1357,0.3601
26,1,0.8277,0.8550
260,1,0.5020,0.6200
261,1,0.3944,0.5530
262,1,0.6420,0.7094
263,1,0.8182,0.8458
264,1,0.8440,0.8715
265,0,0.0175,0.1729
266,1,0.3676,0.5359
267,1,0.2772,0.4755
268,1,0.1064,0.3290
269,1,0.6949,0.7459
27,1,0.5478,0.6486
270,1,0.8120,0.8400
271,1,0.7747,0.8072
272,1,0.1551,0.3787
273,1,0.7903,0.8205
274,1,0.8141,0.8419
275,1,0.8149,0.8427
276,0,0.0541,0.2576
277,1,0.8566,0.8850
278,1,0.4699,0.6001
279,1,0.7245,0.7676
28,1,0.1288,0.3531
280,1,0.7066,0.7543
281,1,0.8138,0.8417
282,1,0.7450,0.7833
283,1,0.4016,0.5575
284,1,0.5639,0.6587
285,1,0.8503,0.8782
286,1,0.4466,0.5856
287,1,0.4723,0.6016
288,1,0.3202,0.5049
289,1,0.6703,0.7286
29,1,0.6238,0.6973
290,0,0.0810,0.2978
291,1,0.8838,0.9172
292,1,0.2114,0.4265
293,0,0.0165,0.1694
294,1,0.3533,0.5267
295,1,0.7854,0.8163
296,1,0.6807,0.7358
297,1,0.7958,0.8254
298,1,0.7271,0.7695
299,1,0.3898,0.5501
3,1,0.8576,0.8862
30,0,0.0173,0.1722
300,1,0.5167,0.6291
301,1,0.9244,0.9771
302,1,0.7094,0.7564
303,1,0.8241,0.8514
304,1,0.7341,0.7748
305,1,0.8640,0.8934
306,1,0.2209,0.4340
307,1,0.4745,0.6029
308,0,0.0001,0.0261
309,1,0.6248,0.6979
31,1,0.8250,0.8524
310,1,0.7768,0.8090
311,1,0.3145,0.5011
312,1,0.2796,0.4771
313,1,0.4566,0.5919
314,1,0.8445,0.8720
315,1,0.9028,0.9429
316,1,0.7116,0.7580
317,1,0.7583,0.7938
318,0,0.0513,0.2527
319,1,0.8920,0.9278
32,1,0.8289,0.8562
320,1,0.6658,0.7255
321,1,0.9161,0.9632
322,1,0.1882,0.4077
323,1,0.7747,0.8072
324,1,0.6455,0.7117
325,1,0.8190,0.8465
326,1,0.6938,0.7451
327,1,0.3464,0.5222
328,1,0.6022,0.6832
329,1,0.7080,0.7554
33,1,0.6862,0.7397
330,1,0.3138,0.5006
331,0,0.0112,0.1477
332,1,0.6061,0.6857
333,0,0.0308,0.2108
334,1,0.5791,0.6683
335,1,0.6763,0.7328
336,0,0.0096,0.1400
337,1,0.8375,0.8648
338,0,0.0001,0.0236
339,0,0.0240,0.1932
34,1,0.8402,0.8675
340,1,0.5576,0.6547
341,0,0.0916,0.3115
342,1,0.6964,0.7470
343,1,0.2271,0.4387
344,1,0.8577,0.8862
345,1,0.9301,0.9873
346,1,0.7850,0.8159
347,1,0.9142,0.9601
348,1,0.7465,0.7844
349,1,0.8046,0.8332
35,1,0.7839,0.8150
350,0,0.0009,0.0609
351,1,0.8638,0.8931
352,1,0.8367,0.8640
353,1,0.7821,0.8135
354,1,0.2850,0.4809
355,1,0.7674,0.8012
356,1,0.3912,0.5509
357,1,0.9013,0.9408
358,1,0.3105,0.4984
359,1,0.7790,0.8109
36,1,0.5143,0.6276
360,1,0.7206,0.7646
361,1,0.1778,0.3988
362,1,0.7948,0.8245
363,1,0.6122,0.6896
364,0,0.0020,0.0817
365,1,0.8785,0.9106
366,1,0.6046,0.6847
367,0,0.0348,0.2202
368,1,0.4533,0.5898
369,1,0.8817,0.9145
37,0,0.0481,0.2470
370,0,0.0000,0.0000
371,1,0.4381,0.5804
372,1,0.1262,0.3504
373,0,0.0002,0.0363
374,1,0.3910,0.5508
375,1,0.5406,0.6441
376,1,0.7967,0.8261
377,1,0.8358,0.8630
378,1,0.2230,0.4356
379,1,0.3973,0.5548
38,1,0.7504,0.7875
380,0,0.0005,0.0484
381,1,0.4711,0.6008
382,1,0.1851,0.4051
383,0,0.0049,0.1110
384,1,0.7857,0.8166
385,1,0.7178,0.7626
386,1,0.4752,0.6034
387,1,0.6837,0.7379
388,1,0.1731,0.3948
389,1,0.5646,0.6592
39,1,0.7173,0.7622
390,1,0.7261,0.7688
391,1,0.6079,0.6869
392,1,0.9075,0.9498
393,1,0.6117,0.6893
394,0,0.0001,0.0230
395,0,0.0986,0.3200
396,1,0.7229,0.7664
397,1,0.6655,0.7253
398,1,0.6127,0.6900
399,1,0.8749,0.9062
4,1,0.8944,0.9311
40,1,0.3925,0.5518
400,1,0.8158,0.8436
401,0,0.0951,0.3157
402,1,0.2967,0.4890
403,1,0.6801,0.7354
404,1,0.6938,0.7451
405,1,0.7234,0.7668
406,1,0.1337,0.3581
407,1,0.7809,0.8124
408,1,0.6938,0.7451
409,0,0.0053,0.1142
41,1,0.5090,0.6243
410,1,0.7823,0.8137
411,1,0.5331,0.6394
412,1,0.7550,0.7912
413,0,0.0212,0.1849
42,1,0.7792,0.8110
43,1,0.6800,0.7353
44,1,0.5266,0.6353
45,1,0.8353,0.8626
46,1,0.3153,0.5016
47,1,0.8024,0.8313
48,0,0.0006,0.0548
49,1,0.4395,0.5813
5,1,0.6628,0.7235
50,1,0.5663,0.6602
51,1,0.5185,0.6303
52,1,0.8634,0.8927
53,1,0.4085,0.5619
54,1,0.8367,0.8640
55,1,0.3865,0.5480
56,1,0.4185,0.5682
